Name,Description,Requirements,Enchant Components,Rarity,Homebrew?
Needle of Mending,"This weapon is disguised as a sewing needle. When you hold it and use a bonus action to speak its command word, it transforms into a weapon or back into a needle. While holding it, you can use an action to cast the mending cantrip from it.",Any,"A needle worth at least 15gp, a potion of Greater Healing, and 100gp of mercury.",Rare,No
Piercing Shot,"When you hit a creature with a ranged attack using this weapon, the ammunition magically pierces the target and travels in a straight line an additional 30 ft. A creature hit in this manner suffers the weapon's normal damaging effects.",Ranged,,Rare,Yes
Piercing Counter,This weapon ignores resistance to piercing damage.,Any,,Rare,Altered
Quick Shot,This weapon has 3 charges which recharge at dawn. By using a charge this ranged weapon can be fired as a bonus action.,Ranged,,Rare,Yes
Red Thirst,"This weapon has 3 charges. When you hit a creature with this weapon or with ammunition fired from this weapon, you can expend a charge to fuel the blade with your life force. You take 1d4 necrotic damage. The creature you hit takes necrotic damage equal to twice the number you rolled. The weapon regains all its charges when a creature attuned to it finishes a short or long rest.",Any,,Rare,Yes
Reroll,"If this weapon is on your person, you can call on its luck (no action required) to reroll one attack roll, ability check, or saving throw you dislike. You must use the second roll. This property can't be used again until the next dawn.",Any,A four leaf clover plated in 500gp of platinum.,Rare,Altered
Return,"When making a ranged attack with this weapon, the weapon magically returns to your hand immediately after hitting or missing your target. If you have no hand free, it falls to the ground at your feet.",Thrown,An eye of a blink dog.,Rare,Yes
Slashing Counter,This weapon ignores resistance to slashing damage.,Any,,Rare,Altered
Slowing,Attacks made with this weapon cumulatively decrease a creature's speed by 5 until the start of your next turn.,Any,An ingot of Fractite and 100gp worth of gem dust.,Rare,Yes
Sonic Boom,"Once per day when your ammunition hits its target, from the location of the ammunition an ear piercing burst is heard, deafening all creatures within a 15ft radius for 1 minute.",Ranged,,Rare,Yes
Spectral Shot,"Once per turn when you hit with this weapon it fires a spectral shot, this shot must choose a different target and uses the weapon's normal attack roll bonuses. This spectral shot deals 2d4 psychic damage.",Ranged,,Rare,Yes
Sun Blade,"While grasping the hilt or handle of this weapon, you can use a bonus action to cause pure radiance to envelope the weapon, or dissipate the radiance. While the radiance is active, this magic weapon has the finesse property. This weapon deals radiant damage instead of its normal damage type. When you hit an undead with it, that target takes an extra 1d8 radiant damage. The weapon's luminosity emits bright light in a 15-foot radius and dim light for an additional 15 feet. The light is sunlight. While the luminance persists, you can use an action to expand or reduce its radius of bright and dim light by 5 feet each, to a maximum of 30 feet each or a minimum of 10 feet each.",Any,,Rare,No
Venom,"You can use an action to cause thick, black poison to coat this weapon or its ammunition. The poison remains for 1 minute or until an attack using this weapon hits a creature. That creature must succeed on a DC 15 Constitution saving throw or take 2d10 poison damage and become poisoned for 1 minute. The weapon can't be used this way again until the next dawn.",Any,,Rare,No
Warning,"This magic weapon warns you of danger. While the weapon is on your person, you have advantage on initiative rolls. In addition, you and any of your companions within 30 feet of you can’t be surprised, except when incapacitated by something other than non magical sleep. The weapon magically awakens you and your companions within range if any of you are sleeping naturally when combat begins.",Any,A 200gp emerald gem and a live mimic.,Rare,No
Wild,When you roll a natural 1 on an attack roll with this weapon you roll on the wild magic table.,Any,,Rare,Yes
Windshear,"When you miss an attack with this weapon or with ammunition fired from this weapon, it gains 1 charge, to a maximum of 3. When you hit a creature with a weapon attack, the weapon's charges are expended, and the creature takes an additional 1d4 bludgeoning damage for each charge. The weapon loses all of its charges if you do not attack with it for longer than a minute.",Any,,Rare,Yes
Bloodied,"When you have fewer hit points than half your hit point maximum, the weapon deals an extra 2d8 damage of the weapon's type on a hit.",Any,,Very Rare,Altered
Bloodlust,"This weapon deals an extra 1d6 necrotic damage to creatures that aren't constructs or undead. If you reduce such a creature to 0 hit points with an attack using this weapon, you gain 10 temporary hit points.",Any,,Very Rare,Altered
Dancing,"You can use a bonus action to toss this magic weapon into the air and speak the command word. When you do so, the weapon begins to hover, flies up to 30 feet, and attacks one creature of your choice within 5 feet of it. The weapon uses your attack roll and ability score modifier to damage rolls. 

While the weapon hovers, you can use a bonus action to cause it to fly up to 30 feet to another spot within 30 feet of you. As part of the same bonus action, you can cause the weapon to attack one creature within 5 feet of it.

After the hovering weapon attacks for the fourth time, it flies up to 30 feet and tries to return to your hand. If you have no hand free, it falls to the ground at your feet. If the weapon has no unobstructed path to you, it moves as close to you as it can and then falls to the ground. It also ceases to hover if you grasp it or move more than 30 feet away from it.",Melee,,Very Rare,No
Dusk Crusher,"While holding this weapon, you can use a bonus action to infuse the weapon with a crackling radiance. The weapon emits bright light in a 15-foot radius and dim light for an additional 15 feet. The light is sunlight. You can use an action to make the radiance disappear.

While the radiance is active, attacks with the weapon deal radiant damage instead of its normal damage type. An undead creature hit by the weapon takes an extra 2d8 radiant damage.

While you are holding this weapon and its radiance is active, you can use an action to cast the sunbeam spell (save DC 15) from the weapon, and this action can’t be used again until the next dawn.",Any,,Very Rare,No
Honor,Pulses or glows while talking to those who may be deceptive. Gives advantage on Insight checks to detect lies whilst glowing.,Any,"A rope made of gold worth at least 500gp, a silvered tongue worth at least 50gp, during the enchantment process the intended recipient of the item must reveal their most important secret.",Very Rare,Yes
Frost Brand,"When you hit with an attack using this magic weapon, the target takes an extra 1d6 cold damage. In addition, while you hold the weapon, you have resistance to fire damage.

In freezing temperatures, the weapon sheds bright light in a 10-foot radius and dim light for an additional 10 feet.

When you draw this weapon, you can extinguish all non-magical flames within 30 feet of you. This property can be used no more than once per hour.",Any,,Very Rare,No
Nine Lives Stealer,"This weapon has 1d8 + 1 charges. If you score a critical hit against a creature that has fewer than 100 hit points, it must succeed on a DC 15 Constitution saving throw or be slain instantly as the weapon tears its life force from its body (a construct or an undead is immune). The weapon loses 1 charge if the creature is slain. When the sword has no charges remaining, it loses this property.",Any,,Very Rare,No
Psychic Rebuke,"When a creature you can see within 30 feet of you hits you with an attack while you are wielding this weapon, you can use your reaction to deal an amount of psychic damage to that creature equal to the damage you took from the attack. This property can’t be used again until the next dawn.",Any,,Very Rare,Altered
Sharpness,"When you attack an object with this magic weapon and hit, maximize your weapon damage dice against the target.

When you attack a creature with this weapon and roll a 20 on the attack roll, that target takes an extra 14 damage of the weapon's type. Then roll another d20. If you roll a 20, you lop off one of the target's limbs, with the effect of such loss determined by the GM. If the creature has no limb to sever, you lop off a portion of its body instead.

In addition, you can speak the sword's command word to cause the blade to shed bright light in a 10-foot radius and dim light for an additional 10 feet. Speaking the command word again or sheathing the sword puts out the light.",Melee,,Very Rare,No
Slaying,"A weapon of slaying is a magic weapon meant to slay a particular kind of creature. Some are more focused than others; for example, there are both weapons of dragon slaying and weapons of blue dragon slaying. If a creature belonging to the type, race, or group associated with an weapon of slaying takes damage from the weapon, the creature must make a DC 17 Constitution saving throw, taking an extra 6d10 damage of the weapon's type on a failed save, or half as much extra damage on a successful one.

Once a weapon of slaying deals its extra damage to a creature, it becomes non magical.",Any,,Very Rare,Altered
Speed,You can make one attack with this weapon as a free action on each of your turns.,Any,,Very Rare,Altered
Spell Storing,"A spell storing weapon allows a spellcaster to store a single targeted spell of up to 3rd level in the weapon. (The spell must have a casting time of 1 action.) Any time the weapon strikes a creature and the creature takes damage from it, the weapon can immediately cast the spell on that creature as a free action if the wielder desires. Once the spell has been cast from the weapon, a spellcaster can cast any other targeted spell of up to 3rd level into it. The weapon magically imparts to the wielder the name of the spell currently stored within it.",Any,,Very Rare,Yes
Sworn Enemy,"When you ready this weapon, it whispers in Elvish, ""Swift defeat to my enemies."" When you use this weapon to make an attack, you can, as a command phrase, say, ""Swift death to you who have wronged me."" The target of your attack becomes your sworn enemy until it dies or until dawn seven days later. You can have only one such sworn enemy at a time. When your sworn enemy dies, you can choose a new one after the next dawn.

When you make an attack roll with this weapon against your sworn enemy, you have advantage on the roll. In addition, your target gains no benefit from cover, other than total cover, and you suffer no disadvantage due to long range. If the attack hits, your sworn enemy takes an extra 3d6 damage of the weapon's type.

While your sworn enemy lives, you have disadvantage on attack rolls with all other weapons.",Any,,Very Rare,Altered
Terror,"This magic weapon has 3 charges. While holding it, you can use an action and expend 1 charge to release a wave of terror. Each creature of your choice in a 30-foot radius extending from you must succeed on a DC 15 Wisdom saving throw or become frightened of you for 1 minute. While it is frightened in this way, a creature must spend its turns trying to move as far away from you as it can, and it can't willingly move to a space within 30 feet of you. It also can't take reactions. For its action, it can use only the Dash action or try to escape from an effect that prevents it from moving. If it has nowhere it can move, the creature can use the Dodge action. At the end of each of its turns, a creature can repeat the saving throw, ending the effect on itself on a success. The weapon regains 1d3 expended charges daily at dawn.",Any,,Very Rare,Altered
Wakened Dragon's Wrath,"As an action, you can unleash a 30-foot cone of destructive energy from the weapon. Each creature in that area must make a DC 16 Dexterity saving throw, taking 8d6 damage of the type acid, cold, fire, force, lightning, necrotic, poison, psychic, radiant, or thunder on a failed save, or half as much damage on a successful one. Once this action is used, it can’t be used again until the next dawn.",Any,,Very Rare,Altered
Wounding,"Hit points lost to this weapon's damage can be regained only through a short or long rest, rather than by regeneration, magic, or any other means. Once per turn, when you hit a creature with an attack using this magic weapon, you can wound the target. At the start of each of the wounded creature's turns, it takes 1d4 necrotic damage for each time you've wounded it, and it can then make a DC 15 Constitution saving throw, ending the effect of all such wounds on itself on a success. Alternatively, the wounded creature, or a creature within 5 feet of it, can use an action to make a DC 15 Wisdom Medicine check, ending the effect of such wounds on it on a success.",Any,,Very Rare,Altered
Astral Silver,"While you hold this weapon, you have advantage on Intelligence, Wisdom, and Charisma saving throws, you are immune to being charmed, and you have resistance to psychic damage. In addition, if you score a critical hit with it against a creature’s astral body, you can cut the silvery cord that tethers the target to its material body, instead of dealing damage.",Any,,Legendary,No
Defender,"The first time you attack with this weapon on each of your turns, you can transfer some or all of the weapon’s bonus to your Armor Class, instead of using the bonus on any attacks that turn. The adjusted bonuses remain in effect until the start of your next turn, although you must hold the weapon to gain a bonus to AC from it.",Any,,Legendary,No
Devour Soul,"Whenever you use this weapon to reduce a creature to 0 hit points, the weapon slays the creature and devours its soul, unless it is a construct or an undead. A creature whose soul has been devoured by this weapon can be restored to life only by a wish spell.

When it devours a soul, this weapon grants you temporary hit points equal to the slain creature’s hit point maximum. These hit points fade after 24 hours. As long as these temporary hit points last and you keep this weapon in hand, you have advantage on attack rolls, saving throws, and ability checks.

If you hit an undead with this weapon, you take 1d10 necrotic damage and the target regains 1d10 hit points. If this necrotic damage reduces you to 0 hit points, this weapon devours your soul.",Any,,Legendary,Altered
Holy Avenger,"When you hit a fiend or an undead with this weapon, that creature takes an extra 2d10 radiant damage.

While you hold the drawn weapon, it creates an aura in a 10-foot radius around you. You and all creatures friendly to you in the aura have advantage on saving throws against spells and other magical effects. If you have 17 or more levels in the paladin class, the radius of the aura increases to 30 feet.",Any,,Legendary,No
Shock Wave,"You can use an action to strike the ground with this weapon and send a shock wave out from the point of impact. Each creature of your choice on the ground within 60 feet of that point must succeed on a DC 15 Constitution saving throw or become stunned for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. Once used, this property can’t be used again until the next dawn.",Any,,Legendary,Altered
Soul Hunter,"While you hold the weapon, you are aware of the presence of Tiny or larger creatures within 60 feet of you that aren't constructs or undead. You also can’t be charmed or frightened.",Any,,Legendary,Altered
Supernatural Awareness,"While you are holding the weapon, it alerts you to the location of any secret or concealed doors within 30 feet of you. In addition, you can use an action to cast detect evil and good or locate object from the weapon. Once you cast either spell, you can't cast it from the weapon again until the next dawn.",Any,,Legendary,Altered
Vorpal,"When you attack a creature that has at least one head with this weapon and roll a 20 on the attack roll, you cut off one of the creature's heads. The creature dies if it can't survive without the lost head. A creature is immune to this effect if it is immune to slashing damage, doesn't have or need a head, has legendary actions, or the GM decides that the creature is too big for its head to be cut off with this weapon. Such a creature instead takes an extra 6d8 damage of the weapon's type from the hit.",Melee,,Legendary,Altered
Weapon of Tiamat,"When you hit with an attack roll using this weapon, the target takes an extra 5d4 damage of your choice of one of the following damage types: acid, cold, fire, lightning, or poison.

While holding the weapon, you can use an action and speak a command word to cause the heads to breathe multicolored flames in a 90-foot cone. Each creature in that area must make a DC 18 Dexterity saving throw. On a failed save, it takes 14d6 damage of one of the following damage types (your choice): acid, cold, fire, lightning, or poison. On a successful save, it takes half as much damage. Once this action is used, it can’t be used again until the next dawn.",Any,,Legendary,No
Wish,"This weapon has 1d4–1 charges. While holding it, you can use an action to expend 1 charge and cast the wish spell from it. This property can't be used again until the next dawn. The weapon loses this property if it has no charges.",Any,,Legendary,Altered
Mirrors,"Whenever you kill a humanoid with an attack using this weapon, the weapon remembers the creature's appearance. While holding the weapon, you can use an action to change your form to match any humanoid the weapon remembers. Your statistics, other than your size, don't change. Any equipment you are wearing or carrying isn't transformed. You can revert to your true appearance as an action. You revert to your true appearance automatically when you die.

When the weapon attunes to a new wielder, the appearances of humanoids it has killed are wiped from its memory.",Any,,Artifact,Altered
